date,location,deaths,cases
2020-03-01,Washington,1,6
2020-03-03,Washington,5,7
2020-03-04,Washington,1,9
2020-03-05,California,1,10
2020-03-05,Washington,3,12
2020-03-06,Washington,1,31
2020-03-07,Washington,2,8
2020-03-08,Washington,3,24
2020-03-09,Florida,2,3
2020-03-09,Washington,2,20
2020-03-11,California,1,43
2020-03-11,New Jersey,1,10
2020-03-11,Washington,4,45
2020-03-12,California,2,34
2020-03-12,New York,1,64
2020-03-12,South Dakota,1,8
2020-03-12,Washington,1,115
2020-03-13,Colorado,1,15
2020-03-13,Georgia,1,8
2020-03-13,Michigan,1,1
2020-03-13,Washington,7,160
2020-03-14,Colorado,1,29
2020-03-14,Kansas,1,2
2020-03-14,Washington,6,126
2020-03-15,Louisiana,1,48
2020-03-15,New York,4,178
2020-03-15,Virginia,1,10
2020-03-15,Washington,2,74
2020-03-16,California,2,1
2020-03-16,Florida,1,24
2020-03-16,Louisiana,1,10
2020-03-16,New Jersey,1,3
2020-03-16,New York,5,76
2020-03-17,California,2,184
2020-03-17,Indiana,1,5
2020-03-17,Kentucky,1,3
2020-03-17,Louisiana,1,28
2020-03-17,Nevada,1,25
2020-03-17,New York,11,328
2020-03-17,South Carolina,1,11
2020-03-17,Virginia,1,12
2020-03-17,Washington,8,176
2020-03-18,California,5,143
2020-03-18,Colorado,1,22
2020-03-18,Florida,2,89
2020-03-18,Illinois,1,78
2020-03-18,Indiana,1,5
2020-03-18,Louisiana,1,81
2020-03-18,New Jersey,2,74
2020-03-18,New York,14,446
2020-03-18,Texas,1,26
2020-03-18,Washington,7,176
2020-03-19,California,4,131
2020-03-19,Connecticut,1,28
2020-03-19,Florida,2,116
2020-03-19,Georgia,2,51
2020-03-19,Louisiana,2,61
2020-03-19,Michigan,1,69
2020-03-19,Missouri,1,7
2020-03-19,New Jersey,3,147
2020-03-19,New York,25,1100
2020-03-19,Oregon,2,9
2020-03-19,Pennsylvania,1,43
2020-03-19,Texas,3,86
2020-03-19,Washington,12,67
2020-03-20,California,2,178
2020-03-20,Colorado,2,62
2020-03-20,Connecticut,2,63
2020-03-20,Florida,2,126
2020-03-20,Georgia,7,90
2020-03-20,Illinois,3,150
2020-03-20,Kentucky,1,22
2020-03-20,Louisiana,4,135
2020-03-20,Maryland,1,22
2020-03-20,Mississippi,1,16
2020-03-20,New Jersey,6,344
2020-03-20,New York,28,1714
2020-03-20,Oklahoma,1,27
2020-03-20,Other,1,9
2020-03-20,Texas,1,109
2020-03-20,Vermont,2,9
2020-03-20,Washington,6,352
2020-03-20,Wisconsin,3,48
2020-03-21,California,6,234
2020-03-21,Connecticut,1,35
2020-03-21,District of Columbia,1,31
2020-03-21,Florida,2,132
2020-03-21,Georgia,4,198
2020-03-21,Illinois,1,163
2020-03-21,Indiana,1,26
2020-03-21,Louisiana,4,145
2020-03-21,Maryland,1,42
2020-03-21,Massachusetts,1,387
2020-03-21,Michigan,1,157
2020-03-21,Missouri,2,37
2020-03-21,Nevada,1,66
2020-03-21,New Jersey,3,149
2020-03-21,New York,55,3439
2020-03-21,Ohio,3,54
2020-03-21,South Carolina,2,46
2020-03-21,Tennessee,1,69
2020-03-21,Washington,10,150
2020-03-21,Wisconsin,1,60
2020-03-22,Arizona,1,36
2020-03-22,California,1,169
2020-03-22,Colorado,1,111
2020-03-22,Florida,2,199
2020-03-22,Georgia,6,70
2020-03-22,Illinois,1,168
2020-03-22,Indiana,1,42
2020-03-22,Kansas,1,9
2020-03-22,Kentucky,1,23
2020-03-22,Louisiana,6,226
2020-03-22,Michigan,3,154
2020-03-22,Minnesota,1,21
2020-03-22,New Jersey,6,437
2020-03-22,New York,52,2750
2020-03-22,Oregon,1,23
2020-03-22,Pennsylvania,1,88
2020-03-22,Puerto Rico,1,7
2020-03-22,Rhode Island,1,12
2020-03-22,Texas,1,153
2020-03-22,Virginia,1,34
2020-03-22,Washington,11,269
2020-03-23,Arizona,1,48
2020-03-23,California,5,239
2020-03-23,Colorado,1,120
2020-03-23,Connecticut,4,133
2020-03-23,District of Columbia,2,4
2020-03-23,Georgia,5,66
2020-03-23,Illinois,3,296
2020-03-23,Indiana,2,76
2020-03-23,Maryland,1,51
2020-03-23,Massachusetts,4,286
2020-03-23,Michigan,6,506
2020-03-23,New Jersey,7,587
2020-03-23,New York,54,4781
2020-03-23,Oklahoma,1,14
2020-03-23,Oregon,1,24
2020-03-23,Other,1,19
2020-03-23,Pennsylvania,2,110
2020-03-23,Tennessee,1,89
2020-03-23,Texas,2,61
2020-03-23,Utah,1,44
2020-03-23,Virginia,3,63
2020-03-23,Washington,3,204
2020-03-24,California,9,462
2020-03-24,Connecticut,2,88
2020-03-24,Florida,5,223
2020-03-24,Illinois,3,236
2020-03-24,Indiana,1,66
2020-03-24,Kentucky,1,20
2020-03-24,Louisiana,15,335
2020-03-24,Massachusetts,4,608
2020-03-24,Michigan,6,323
2020-03-24,Missouri,1,103
2020-03-24,Nevada,2,55
2020-03-24,New Hampshire,1,28
2020-03-24,New Jersey,11,930
2020-03-24,New York,102,5693
2020-03-24,Ohio,3,87
2020-03-24,Pennsylvania,2,189
2020-03-24,Puerto Rico,1,8
2020-03-24,South Carolina,2,102
2020-03-24,Texas,2,121
2020-03-24,Vermont,3,23
2020-03-24,Washington,12,224
2020-03-25,Arizona,3,91
2020-03-25,Arkansas,2,27
2020-03-25,California,11,429
2020-03-25,Colorado,4,189
2020-03-25,Connecticut,2,203
2020-03-25,Georgia,7,254
2020-03-25,Hawaii,1,34
2020-03-25,Illinois,4,252
2020-03-25,Indiana,5,98
2020-03-25,Louisiana,11,216
2020-03-25,Maryland,1,59
2020-03-25,Massachusetts,2,718
2020-03-25,Michigan,13,488
2020-03-25,Missouri,4,66
2020-03-25,New Jersey,20,831
2020-03-25,New York,124,4797
2020-03-25,Ohio,2,124
2020-03-25,Oklahoma,1,25
2020-03-25,Oregon,3,19
2020-03-25,Pennsylvania,2,248
2020-03-25,Texas,5,204
2020-03-25,Vermont,2,20
2020-03-25,Virginia,3,39
2020-03-25,Washington,7,107
2020-03-25,Wisconsin,2,56
2020-03-26,Alabama,1,174
2020-03-26,Alaska,1,7
2020-03-26,Arizona,1,75
2020-03-26,California,15,467
2020-03-26,Colorado,9,175
2020-03-26,Connecticut,7,257
2020-03-26,Florida,5,270
2020-03-26,Georgia,8,221
2020-03-26,Illinois,3,328
2020-03-26,Indiana,2,109
2020-03-26,Iowa,1,22
2020-03-26,Kansas,1,34
2020-03-26,Kentucky,1,35
2020-03-26,Louisiana,19,407
2020-03-26,Massachusetts,4,748
2020-03-26,Michigan,20,526
2020-03-26,Mississippi,2,57
2020-03-26,Missouri,1,91
2020-03-26,Nevada,2,45
2020-03-26,New Jersey,21,727
2020-03-26,New Mexico,1,13
2020-03-26,New York,157,5160
2020-03-26,North Carolina,2,117
2020-03-26,Ohio,3,137
2020-03-26,Oklahoma,2,58
2020-03-26,Oregon,2,56
2020-03-26,Pennsylvania,7,314
2020-03-26,South Carolina,2,82
2020-03-26,Tennessee,1,144
2020-03-26,Texas,4,280
2020-03-26,Vermont,1,30
2020-03-26,Washington,17,263
2020-03-26,Wisconsin,4,140
2020-03-27,Arizona,2,107
2020-03-27,California,16,901
2020-03-27,Connecticut,2,137
2020-03-27,Delaware,1,11
2020-03-27,District of Columbia,1,44
2020-03-27,Florida,6,675
2020-03-27,Georgia,8,278
2020-03-27,Idaho,3,55
2020-03-27,Illinois,7,673
2020-03-27,Indiana,3,168
2020-03-27,Louisiana,18,509
2020-03-27,Massachusetts,10,935
2020-03-27,Michigan,20,564
2020-03-27,Minnesota,1,58
2020-03-27,Mississippi,3,108
2020-03-27,Nevada,4,97
2020-03-27,New Jersey,28,2474
2020-03-27,New York,235,6556
2020-03-27,North Carolina,1,130
2020-03-27,Ohio,4,164
2020-03-27,Oklahoma,2,84
2020-03-27,Oregon,1,50
2020-03-27,Pennsylvania,3,535
2020-03-27,Texas,6,315
2020-03-27,Vermont,1,33
2020-03-27,Virginia,1,70
2020-03-27,Washington,17,616
2020-03-27,Wisconsin,7,107
2020-03-28,Alabama,3,110
2020-03-28,Arizona,5,157
2020-03-28,Arkansas,1,46
2020-03-28,California,13,769
2020-03-28,Colorado,12,308
2020-03-28,Connecticut,6,279
2020-03-28,Delaware,1,33
2020-03-28,Florida,6,543
2020-03-28,Georgia,16,475
2020-03-28,Illinois,8,486
2020-03-28,Indiana,8,334
2020-03-28,Iowa,2,56
2020-03-28,Kansas,1,34
2020-03-28,Kentucky,2,54
2020-03-28,Louisiana,36,440
2020-03-28,Maine,1,13
2020-03-28,Maryland,1,192
2020-03-28,Massachusetts,10,941
2020-03-28,Michigan,36,816
2020-03-28,Minnesota,2,52
2020-03-28,Mississippi,2,94
2020-03-28,Montana,1,19
2020-03-28,New Jersey,32,1949
2020-03-28,New York,272,7304
2020-03-28,North Carolina,1,172
2020-03-28,North Dakota,1,17
2020-03-28,Ohio,4,269
2020-03-28,Oklahoma,1,74
2020-03-28,Oregon,1,100
2020-03-28,Other,2,8
2020-03-28,Pennsylvania,4,550
2020-03-28,Puerto Rico,1,15
2020-03-28,South Carolina,4,118
2020-03-28,Tennessee,3,221
2020-03-28,Texas,9,374
2020-03-28,Vermont,1,26
2020-03-28,Washington,7,270
2020-03-28,Wisconsin,2,198
2020-03-29,Alaska,1,17
2020-03-29,Arizona,2,108
2020-03-29,Arkansas,2,28
2020-03-29,California,16,431
2020-03-29,Colorado,13,323
2020-03-29,Connecticut,6,233
2020-03-29,Delaware,3,51
2020-03-29,District of Columbia,1,33
2020-03-29,Florida,19,863
2020-03-29,Georgia,5,366
2020-03-29,Idaho,1,29
2020-03-29,Illinois,13,467
2020-03-29,Indiana,6,254
2020-03-29,Kansas,1,60
2020-03-29,Kentucky,2,79
2020-03-29,Louisiana,18,571
2020-03-29,Massachusetts,9,657
2020-03-29,Michigan,23,1042
2020-03-29,Minnesota,1,45
2020-03-29,Mississippi,5,84
2020-03-29,Missouri,4,120
2020-03-29,Nebraska,2,14
2020-03-29,New Hampshire,1,29
2020-03-29,New Jersey,51,2299
2020-03-29,New York,353,7699
2020-03-29,North Carolina,1,142
2020-03-29,Ohio,6,269
2020-03-29,Oklahoma,7,55
2020-03-29,Oregon,1,63
2020-03-29,Pennsylvania,12,500
2020-03-29,Rhode Island,1,36
2020-03-29,South Carolina,2,118
2020-03-29,Tennessee,1,193
2020-03-29,Texas,5,518
2020-03-29,Vermont,2,27
2020-03-29,Virginia,3,133
2020-03-29,Washington,31,553
2020-03-29,Wisconsin,3,129
2020-03-30,Alabama,6,79
2020-03-30,Arizona,2,146
2020-03-30,Arkansas,1,17
2020-03-30,California,14,753
2020-03-30,Colorado,3,247
2020-03-30,Connecticut,1,469
2020-03-30,Delaware,1,18
2020-03-30,District of Columbia,1,38
2020-03-30,Florida,2,483
2020-03-30,Georgia,11,285
2020-03-30,Idaho,1,47
2020-03-30,Illinois,19,1105
2020-03-30,Indiana,1,280
2020-03-30,Iowa,1,38
2020-03-30,Kansas,2,64
2020-03-30,Louisiana,14,225
2020-03-30,Maine,2,42
2020-03-30,Maryland,5,244
2020-03-30,Massachusetts,4,523
2020-03-30,Michigan,27,863
2020-03-30,Minnesota,4,62
2020-03-30,Mississippi,1,96
2020-03-30,Missouri,3,70
2020-03-30,Nevada,5,294
2020-03-30,New Jersey,27,2262
2020-03-30,New Mexico,1,29
2020-03-30,New York,382,7248
2020-03-30,North Carolina,2,129
2020-03-30,Ohio,4,247
2020-03-30,Oklahoma,1,52
2020-03-30,Pennsylvania,7,587
2020-03-30,Rhode Island,1,55
2020-03-30,South Carolina,1,114
2020-03-30,Tennessee,1,209
2020-03-30,Texas,9,337
2020-03-30,Utah,1,118
2020-03-30,Virginia,7,150
2020-03-30,Washington,10,435
2020-03-30,Wisconsin,7,109
2020-03-31,Alaska,1,8
2020-03-31,Arizona,3,238
2020-03-31,Arkansas,1,47
2020-03-31,California,22,1292
2020-03-31,Colorado,4,319
2020-03-31,Connecticut,2,578
2020-03-31,District of Columbia,4,59
2020-03-31,Florida,7,1227
2020-03-31,Georgia,7,157
2020-03-31,Idaho,1,59
2020-03-31,Illinois,7,460
2020-03-31,Indiana,3,273
2020-03-31,Iowa,2,88
2020-03-31,Kansas,1,42
2020-03-31,Kentucky,2,41
2020-03-31,Louisiana,34,485
2020-03-31,Maryland,5,174
2020-03-31,Massachusetts,8,1238
2020-03-31,Michigan,56,1050
2020-03-31,Minnesota,1,73
2020-03-31,Mississippi,2,88
2020-03-31,Montana,4,17
2020-03-31,New Hampshire,1,100
2020-03-31,New Jersey,49,3250
2020-03-31,New York,412,7015
2020-03-31,North Dakota,1,11
2020-03-31,Ohio,11,280
2020-03-31,Oregon,3,58
2020-03-31,Pennsylvania,9,723
2020-03-31,Puerto Rico,3,47
2020-03-31,Rhode Island,1,114
2020-03-31,South Carolina,2,151
2020-03-31,Tennessee,6,197
2020-03-31,Texas,10,381
2020-03-31,Utah,2,78
2020-03-31,Washington,7,458
2020-03-31,West Virginia,1,32
2020-03-31,Wisconsin,6,66
2020-04-01,Alabama,13,62
2020-04-01,Arizona,5,132
2020-04-01,Arkansas,1,50
2020-04-01,California,27,1078
2020-04-01,Colorado,18,339
2020-04-01,Connecticut,33,557
2020-04-01,Delaware,4,55
2020-04-01,Florida,22,1268
2020-04-01,Georgia,24,1121
2020-04-01,Idaho,2,175
2020-04-01,Illinois,26,938
2020-04-01,Indiana,14,372
2020-04-01,Iowa,1,73
2020-04-01,Kansas,1,62
2020-04-01,Louisiana,54,1212
2020-04-01,Maine,2,28
2020-04-01,Maryland,3,247
2020-04-01,Massachusetts,33,1264
2020-04-01,Michigan,79,1148
2020-04-01,Minnesota,2,53
2020-04-01,Mississippi,4,90
2020-04-01,Missouri,3,261
2020-04-01,Nebraska,1,27
2020-04-01,Nevada,11,102
2020-04-01,New Jersey,98,2060
2020-04-01,New Mexico,2,78
2020-04-01,New York,489,9190
2020-04-01,North Carolina,5,152
2020-04-01,North Dakota,1,13
2020-04-01,Ohio,15,266
2020-04-01,Oklahoma,7,87
2020-04-01,Oregon,2,84
2020-04-01,Other,1,13
2020-04-01,Pennsylvania,13,808
2020-04-01,Puerto Rico,2,65
2020-04-01,Rhode Island,7,80
2020-04-01,South Carolina,4,158
2020-04-01,Tennessee,9,474
2020-04-01,Texas,12,636
2020-04-01,Utah,1,90
2020-04-01,Vermont,1,37
2020-04-01,Virginia,12,229
2020-04-01,Washington,20,509
2020-04-01,Wisconsin,8,182
2020-04-02,Alabama,4,112
2020-04-02,Arizona,7,124
2020-04-02,Arkansas,2,61
2020-04-02,California,26,1177
2020-04-02,Colorado,10,376
2020-04-02,Connecticut,16,429
2020-04-02,Delaware,1,49
2020-04-02,Florida,2,215
2020-04-02,Georgia,28,709
2020-04-02,Hawaii,1,20
2020-04-02,Idaho,1,51
2020-04-02,Illinois,42,986
2020-04-02,Indiana,16,406
2020-04-02,Iowa,2,50
2020-04-02,Kansas,1,51
2020-04-02,Kentucky,7,4
2020-04-02,Louisiana,34,1187
2020-04-02,Maryland,13,326
2020-04-02,Massachusetts,33,1339
2020-04-02,Michigan,78,1766
2020-04-02,Minnesota,5,60
2020-04-02,Mississippi,2,136
2020-04-02,Missouri,5,253
2020-04-02,Montana,1,10
2020-04-02,Nebraska,1,38
2020-04-02,Nevada,5,165
2020-04-02,New Jersey,110,3559
2020-04-02,New Mexico,1,12
2020-04-02,New York,636,8095
2020-04-02,North Carolina,2,277
2020-04-02,Ohio,10,348
2020-04-02,Oklahoma,7,153
2020-04-02,Oregon,1,46
2020-04-02,Other,2,12
2020-04-02,Pennsylvania,11,1046
2020-04-02,Puerto Rico,3,47
2020-04-02,South Carolina,4,210
2020-04-02,South Dakota,1,21
2020-04-02,Tennessee,1,542
2020-04-02,Texas,18,571
2020-04-02,Vermont,3,28
2020-04-02,Virginia,7,234
2020-04-02,Washington,9,176
2020-04-02,Wisconsin,11,144
2020-04-03,Alabama,5,196
2020-04-03,Arizona,3,183
2020-04-03,Arkansas,2,59
2020-04-03,California,39,1380
2020-04-03,Colorado,18,386
2020-04-03,Connecticut,27,267
2020-04-03,Delaware,1,25
