date,time,location,growth
2020-01-24,2,Alabama,0
2020-01-24,2,Alaska,0
2020-01-24,2,American Samoa,0
2020-01-24,2,Arizona,0
2020-01-24,2,Arkansas,0
2020-01-24,2,California,0
2020-01-24,2,Colorado,0
2020-01-24,2,Connecticut,0
2020-01-24,2,Delaware,0
2020-01-24,2,Diamond Princess,0
2020-01-24,2,District of Columbia,0
2020-01-24,2,Florida,0
2020-01-24,2,Georgia,0
2020-01-24,2,Grand Princess,0
2020-01-24,2,Guam,0
2020-01-24,2,Hawaii,0
2020-01-24,2,Idaho,0
2020-01-24,2,Illinois,0
2020-01-24,2,Indiana,0
2020-01-24,2,Iowa,0
2020-01-24,2,Kansas,0
2020-01-24,2,Kentucky,0
2020-01-24,2,Louisiana,0
2020-01-24,2,Maine,0
2020-01-24,2,Maryland,0
2020-01-24,2,Massachusetts,0
2020-01-24,2,Michigan,0
2020-01-24,2,Minnesota,0
2020-01-24,2,Mississippi,0
2020-01-24,2,Missouri,0
2020-01-24,2,Montana,0
2020-01-24,2,Nebraska,0
2020-01-24,2,Nevada,0
2020-01-24,2,New Hampshire,0
2020-01-24,2,New Jersey,0
2020-01-24,2,New Mexico,0
2020-01-24,2,New York,0
2020-01-24,2,North Carolina,0
2020-01-24,2,North Dakota,0
2020-01-24,2,Northern Mariana Islands,0
2020-01-24,2,Ohio,0
2020-01-24,2,Oklahoma,0
2020-01-24,2,Oregon,0
2020-01-24,2,Pennsylvania,0
2020-01-24,2,Puerto Rico,0
2020-01-24,2,Rhode Island,0
2020-01-24,2,South Carolina,0
2020-01-24,2,South Dakota,0
2020-01-24,2,Tennessee,0
2020-01-24,2,Texas,0
2020-01-24,2,Utah,0
2020-01-24,2,Vermont,0
2020-01-24,2,Virgin Islands,0
2020-01-24,2,Virginia,0
2020-01-24,2,Washington,0
2020-01-24,2,West Virginia,0
2020-01-24,2,Wisconsin,0
2020-01-24,2,Wyoming,0
2020-01-25,3,Alabama,0
2020-01-25,3,Alaska,0
2020-01-25,3,American Samoa,0
2020-01-25,3,Arizona,0
2020-01-25,3,Arkansas,0
2020-01-25,3,California,0
2020-01-25,3,Colorado,0
2020-01-25,3,Connecticut,0
2020-01-25,3,Delaware,0
2020-01-25,3,Diamond Princess,0
2020-01-25,3,District of Columbia,0
2020-01-25,3,Florida,0
2020-01-25,3,Georgia,0
2020-01-25,3,Grand Princess,0
2020-01-25,3,Guam,0
2020-01-25,3,Hawaii,0
2020-01-25,3,Idaho,0
2020-01-25,3,Illinois,1
2020-01-25,3,Indiana,0
2020-01-25,3,Iowa,0
2020-01-25,3,Kansas,0
2020-01-25,3,Kentucky,0
2020-01-25,3,Louisiana,0
2020-01-25,3,Maine,0
2020-01-25,3,Maryland,0
2020-01-25,3,Massachusetts,0
2020-01-25,3,Michigan,0
2020-01-25,3,Minnesota,0
2020-01-25,3,Mississippi,0
2020-01-25,3,Missouri,0
2020-01-25,3,Montana,0
2020-01-25,3,Nebraska,0
2020-01-25,3,Nevada,0
2020-01-25,3,New Hampshire,0
2020-01-25,3,New Jersey,0
2020-01-25,3,New Mexico,0
2020-01-25,3,New York,0
2020-01-25,3,North Carolina,0
2020-01-25,3,North Dakota,0
2020-01-25,3,Northern Mariana Islands,0
2020-01-25,3,Ohio,0
2020-01-25,3,Oklahoma,0
2020-01-25,3,Oregon,0
2020-01-25,3,Pennsylvania,0
2020-01-25,3,Puerto Rico,0
2020-01-25,3,Rhode Island,0
2020-01-25,3,South Carolina,0
2020-01-25,3,South Dakota,0
2020-01-25,3,Tennessee,0
2020-01-25,3,Texas,0
2020-01-25,3,Utah,0
2020-01-25,3,Vermont,0
2020-01-25,3,Virgin Islands,0
2020-01-25,3,Virginia,0
2020-01-25,3,Washington,0
2020-01-25,3,West Virginia,0
2020-01-25,3,Wisconsin,0
2020-01-25,3,Wyoming,0
2020-01-26,4,Alabama,0
2020-01-26,4,Alaska,0
2020-01-26,4,American Samoa,0
2020-01-26,4,Arizona,0
2020-01-26,4,Arkansas,0
2020-01-26,4,California,0
2020-01-26,4,Colorado,0
2020-01-26,4,Connecticut,0
2020-01-26,4,Delaware,0
2020-01-26,4,Diamond Princess,0
2020-01-26,4,District of Columbia,0
2020-01-26,4,Florida,0
2020-01-26,4,Georgia,0
2020-01-26,4,Grand Princess,0
2020-01-26,4,Guam,0
2020-01-26,4,Hawaii,0
2020-01-26,4,Idaho,0
2020-01-26,4,Illinois,0
2020-01-26,4,Indiana,0
2020-01-26,4,Iowa,0
2020-01-26,4,Kansas,0
2020-01-26,4,Kentucky,0
2020-01-26,4,Louisiana,0
2020-01-26,4,Maine,0
2020-01-26,4,Maryland,0
2020-01-26,4,Massachusetts,0
2020-01-26,4,Michigan,0
2020-01-26,4,Minnesota,0
2020-01-26,4,Mississippi,0
2020-01-26,4,Missouri,0
2020-01-26,4,Montana,0
2020-01-26,4,Nebraska,0
2020-01-26,4,Nevada,0
2020-01-26,4,New Hampshire,0
2020-01-26,4,New Jersey,0
2020-01-26,4,New Mexico,0
2020-01-26,4,New York,0
2020-01-26,4,North Carolina,0
2020-01-26,4,North Dakota,0
2020-01-26,4,Northern Mariana Islands,0
2020-01-26,4,Ohio,0
2020-01-26,4,Oklahoma,0
2020-01-26,4,Oregon,0
2020-01-26,4,Pennsylvania,0
2020-01-26,4,Puerto Rico,0
2020-01-26,4,Rhode Island,0
2020-01-26,4,South Carolina,0
2020-01-26,4,South Dakota,0
2020-01-26,4,Tennessee,0
2020-01-26,4,Texas,0
2020-01-26,4,Utah,0
2020-01-26,4,Vermont,0
2020-01-26,4,Virgin Islands,0
2020-01-26,4,Virginia,0
2020-01-26,4,Washington,0
2020-01-26,4,West Virginia,0
2020-01-26,4,Wisconsin,0
2020-01-26,4,Wyoming,0
2020-01-27,5,Alabama,0
2020-01-27,5,Alaska,0
2020-01-27,5,American Samoa,0
2020-01-27,5,Arizona,1
2020-01-27,5,Arkansas,0
2020-01-27,5,California,2
2020-01-27,5,Colorado,0
2020-01-27,5,Connecticut,0
2020-01-27,5,Delaware,0
2020-01-27,5,Diamond Princess,0
2020-01-27,5,District of Columbia,0
2020-01-27,5,Florida,0
2020-01-27,5,Georgia,0
2020-01-27,5,Grand Princess,0
2020-01-27,5,Guam,0
2020-01-27,5,Hawaii,0
2020-01-27,5,Idaho,0
2020-01-27,5,Illinois,0
2020-01-27,5,Indiana,0
2020-01-27,5,Iowa,0
2020-01-27,5,Kansas,0
2020-01-27,5,Kentucky,0
2020-01-27,5,Louisiana,0
